title,text,source,label
Government launches rural healthcare mission,The government launched a rural healthcare mission across several districts to improve access to primary medical services.,the hindu,real
NASA completes successful satellite launch,NASA confirmed the successful launch of a new weather satellite after a short weather delay.,reuters,real
Reserve Bank keeps rates unchanged,The central bank kept benchmark interest rates unchanged after reviewing inflation and growth conditions.,economic times,real
Parliament passes digital services bill,Parliament passed a new bill aimed at improving digital public services and citizen access.,ndtv,real
WHO issues seasonal virus advisory,The World Health Organization released updated guidance on seasonal viral infections and public safety measures.,bbc,real
Railway ministry announces summer special trains,The railway ministry announced additional special trains to manage summer travel demand.,indian express,real
ISRO schedules Earth observation mission,ISRO officials said the launch window for the Earth observation mission remains on schedule after technical checks.,times of india,real
Supreme Court issues safety guidelines,The Supreme Court issued fresh public safety guidelines in response to recent infrastructure concerns.,the guardian,real
State opens engineering colleges,The state government opened new engineering colleges in remote areas to expand higher education access.,hindustan times,real
Scientists publish climate report,Researchers published a climate study describing polar ice loss and long-term sea level risks.,associated press,real
Miracle cure found in kitchen spice,A miracle cure for cancer was found in a kitchen spice overnight and doctors were left shocked.,unknown blog,fake
Aliens land in Delhi and sign agreement,Aliens landed in Delhi and signed a peace agreement with top officials according to viral social media posts.,viral portal,fake
Secret temple water cures all diseases,Secret temple water instantly cures all heart diseases and medical science is hiding the truth.,mystic now,fake
Government hides rain control machine,The government is hiding a machine that can control rain earthquakes and storms worldwide.,rumor daily,fake
One fruit regrows organs in two days,One fruit can regrow damaged organs in 48 hours with 100 percent guaranteed success.,health blast,fake
Moon is artificial says celebrity,A celebrity claimed the moon is an artificial object built in a lab by a secret group.,buzz flash,fake
Doctors hate this leaf because it cures every disease,Doctors hate this one leaf because it cures every disease instantly without any side effects.,click post,fake
Ancient device predicts all disasters,An ancient device has been discovered that can predict every future disaster exactly before it happens.,myth update,fake
Magic oil makes people live 180 years,Magic oil makes humans live beyond 180 years and pharmaceutical companies do not want you to know.,trend page,fake
Humans can survive months without sleep,Scientists confirmed humans can safely survive without sleep for several months according to a secret study.,strange feed,fake
